"subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "angle(tBodyAccMean,gravity)" "angle(tBodyAccJerkMean),gravityMean)" "angle(tBodyGyroMean,gravityMean)" "angle(tBodyGyroJerkMean,gravityMean)" "angle(X,gravityMean)" "angle(Y,gravityMean)" "angle(Z,gravityMean)"
"1" 1 -0.310619843976945 -0.305304816682997 -0.312280362389049 -0.324416667319885 -0.325439245577762 -0.313349811440922 -0.29317115315389 -0.300043350263401 -0.317695542701988 -0.325376682902017 -0.324863780567695 -0.329251210357637 -0.342163252510086 -0.3425524721 -0.335966132764236 -0.337660265308357 -0.346857856123919 -0.338908970325648 -0.338608409963401 -0.33285597348415 -0.335386934062767 -0.32921397292219 -0.323117162927954 -0.32493805132853 -0.318770202434294 -0.320631645218444 -0.325027564953891 -0.340818918233429 -0.332670796761671 -0.324096122504323 -0.339999676982709 -0.349593796489914 -0.328281857717579 -0.333134385876081 -0.318651149756196 -0.315597233988473 -0.315975096698847 -0.308115620524207 -0.337481679333429 -0.345723025498559 -0.337983030801153 -0.338161000135447 -0.338700533083574 -0.342341495282421 -0.33773075345245 -0.333426204930836 -0.319759082614063 -0.326170476474899 -0.329257641279539 -0.312907043332565 -0.312952781455043 -0.32686830274928 -0.335340763357349 -0.333435045135447 -0.322364187884726 -0.344011654672046 -0.331380998904899 -0.354032839450432 -0.311370669795389 -0.294950990631124 -0.299132238123919 -0.312084262184726 -0.315286532734006 -0.313652237003746 -0.338275842244957 -0.342171229829971 -0.325289264892219 -0.324729916380403 -0.313735419089337 -0.326579730345821 -0.311242804723343 -0.327036950475504 -0.347477296221902 -0.321647803526513 -0.31733915348415 -0.327613351373775 -0.33412848785879 -0.322203232360231 -0.340045641965418 -0.330075155005764 -0.320417490576369 -0.327131736337176 -0.325536658942651 -0.321933875616715 -0.322013683735447 -0.324808079087032
"2" 2 -0.186044739215232 -0.18262869965454 -0.182309068963576 -0.192017758109272 -0.197791183235099 -0.185548294662252 -0.161335903751656 -0.171624442172185 -0.181569596365563 -0.188776267503973 -0.185201849187086 -0.173657202765894 -0.229153334566225 -0.226054106996689 -0.222328936151987 -0.225723627217881 -0.234898739701987 -0.238165962754033 -0.245829896938742 -0.237940430466887 -0.233898992899338 -0.225700073082781 -0.22774388110894 -0.235964244380795 -0.221064946639073 -0.203001844310927 -0.182061589251656 -0.196268219321192 -0.199016889480132 -0.198937840996689 -0.181841220231788 -0.195688414884106 -0.213951896369205 -0.206483182179801 -0.206835821453642 -0.202059302470199 -0.230458010010927 -0.222164559258278 -0.229938107937086 -0.238932369321192 -0.217898922897351 -0.214812975506623 -0.217677406125828 -0.228885275114901 -0.228562915642384 -0.225442633959669 -0.235870313079139 -0.242950405728477 -0.239781701439404 -0.214642937757616 -0.210666067415894 -0.208460555947351 -0.209302230629139 -0.209527239503311 -0.222164588884106 -0.231521292315232 -0.22421376694702 -0.216341063695364 -0.19388104706755 -0.192478695350993 -0.191767631970199 -0.194946690407285 -0.19394321266457 -0.191197963983113 -0.197614090069536 -0.205600895655629 -0.201066259178808 -0.24581267592053 -0.256440722404305 -0.26083966028543 -0.262747300676821 -0.249492812145695 -0.239080122209272 -0.238839241385099 -0.238028404750662 -0.227306336760394 -0.224030511513245 -0.229046318986755 -0.216139467135762 -0.19981821334106 -0.203964649701987 -0.209785302142616 -0.208684872452649 -0.200783385986755 -0.187292463764073 -0.194853714997417
"3" 3 -0.0954397563167155 -0.112055401827273 -0.115704601686217 -0.11429689638651 -0.128493747497654 -0.126696139947214 -0.185333611117302 -0.189714763217302 -0.190462605064516 -0.181933940797654 -0.190231929958944 -0.194413288946334 -0.157250874648094 -0.149887071100587 -0.149312272152493 -0.15438016336305 -0.137090363219941 -0.135688971554252 -0.125349890099707 -0.124389099648094 -0.110508771077126 -0.115522932215836 -0.113381262181818 -0.108958653228739 -0.107186243919355 -0.107396143128739 -0.10953559516129 -0.105222001197067 -0.104794498934897 -0.0996992879442815 -0.143597637445748 -0.147958912683284 -0.166007209832845 -0.173892134228739 -0.206278825332622 -0.180598481461654 -0.160307807546334 -0.142425265853372 -0.187745952604106 -0.193120290777126 -0.156986800983108 -0.152827260828152 -0.151700881777419 -0.156659864516129 -0.16526469683871 -0.1618508981261 -0.13430892244868 -0.150257560316716 -0.173524580129032 -0.112158303656891 -0.119086350193548 -0.118572050832845 -0.111594564818182 -0.118940657718475 -0.135420543127859 -0.141542011640469 -0.135558815319648 -0.148087875819648 -0.189193441507331 -0.187147102316716 -0.190326532876833 -0.176206282460704 -0.176844716410557 -0.166636149324047 -0.160539188781232 -0.163512433659531 -0.150702894900293 -0.124982362862434 -0.11662723623871 -0.105982677612903 -0.123942346460411 -0.129701367513196 -0.131912716715836 -0.13279406970088 -0.123051391313783 -0.140592371079179 -0.11327899513783 -0.114887340627566 -0.120289367334311 -0.120714072666862 -0.126941148504399 -0.126448998848974 -0.112042726707918 -0.119705233906158 -0.127130784348974 -0.117643823973607
"4" 4 -0.248954730921136 -0.263061048088328 -0.25300741726183 -0.258920665826498 -0.24451373488612 -0.246542436772871 -0.243283750977918 -0.232735714597792 -0.243836495129338 -0.269337185812303 -0.249325664451104 -0.2520070793653 -0.249064654719243 -0.274140961962776 -0.263681118798107 -0.272510936861199 -0.283146389722397 -0.262801973250473 -0.238185098022082 -0.253513610470662 -0.259657206088328 -0.253035533185426 -0.237951270397476 -0.229492309845426 -0.236091539388013 -0.235780438350158 -0.216271719823344 -0.235330023578233 -0.216822715574132 -0.211163694719243 -0.256836879993691 -0.259504363359621 -0.261541992189274 -0.280638809293375 -0.293215242325994 -0.280957799807571 -0.249344045383281 -0.261674072955836 -0.266775505784543 -0.265365740082019 -0.24959569945205 -0.250468473870347 -0.242867212340694 -0.249695995129338 -0.240384101290221 -0.240430907097792 -0.206458607365931 -0.233183252578864 -0.240642350801262 -0.219481904340694 -0.218594509460568 -0.231907045438486 -0.231844966716088 -0.226481361520189 -0.23401485151388 -0.277532734384858 -0.249240921669716 -0.231768243861199 -0.265910871577287 -0.241788101444795 -0.243904302583596 -0.246876212443849 -0.250527781292114 -0.233114323239748 -0.24616773844164 -0.233908406403785 -0.223642795567823 -0.241563704558044 -0.238770486053628 -0.262768645574132 -0.22018131570347 -0.22827358959306 -0.230163634429022 -0.241782114542587 -0.2448703235653 -0.24345248906877 -0.234436293011672 -0.234445683449842 -0.278315084511041 -0.244403591321767 -0.25606873535205 -0.266117575709779 -0.253716385583912 -0.259011150483912 -0.271133431501577 -0.24784148753817
"5" 5 -0.25047095957947 -0.274402349162252 -0.274063789768212 -0.263044122797119 -0.269633976608377 -0.268309972103311 -0.288566356791391 -0.284481597715232 -0.273178682324503 -0.279405042761589 -0.286277962373179 -0.282478573757947 -0.298265024891921 -0.301684576954967 -0.282771795001324 -0.279795611572848 -0.278710902937086 -0.26454944705298 -0.247288006887417 -0.24865433281457 -0.248066325603642 -0.24806892318596 -0.255017699997682 -0.235782185430464 -0.234232163188742 -0.236185266960265 -0.252230682728477 -0.252008657781457 -0.256933305 -0.243513689798013 -0.246800441364238 -0.250677308056291 -0.247810265682119 -0.253615948162252 -0.285307042082781 -0.311100987781457 -0.290817979751656 -0.292345008354305 -0.273033459786755 -0.269429933862914 -0.270660244788079 -0.267866141137086 -0.250369335582781 -0.263136503165563 -0.28520933818543 -0.278988119513245 -0.255386792705298 -0.275719437003311 -0.283020412201987 -0.238429751453642 -0.242747700529801 -0.222838655119205 -0.215854276059603 -0.213990261357616 -0.215011446801325 -0.259314489549669 -0.26357906642053 -0.27081307242053 -0.258311785222848 -0.278277618569536 -0.264573860559603 -0.285244853053311 -0.271586953168874 -0.275759486692053 -0.299595100688742 -0.276328576430464 -0.288838294198676 -0.241946560274834 -0.234902525298013 -0.22284687705298 -0.209474358003311 -0.204053615096026 -0.215182832569536 -0.212916060778146 -0.206393674109272 -0.224222542516556 -0.223970145109272 -0.226410313241722 -0.248042643324503 -0.253735135380795 -0.269556505827815 -0.265475873596026 -0.259974577056291 -0.267543958460265 -0.268858094927152 -0.249242361009934
"6" 6 -0.327165843190338 -0.317577522840923 -0.319907325824615 -0.336753400894923 -0.323404049107077 -0.301368932516923 -0.307353874372615 -0.323812145193846 -0.315522811708923 -0.298514353264 -0.297431052375077 -0.314316070511692 -0.264056972741231 -0.291200103921846 -0.289161686322985 -0.297036060763077 -0.263204770013662 -0.272227914150769 -0.307940191098462 -0.321528724704615 -0.311727608230769 -0.303738375110923 -0.298933411590769 -0.312113920169231 -0.3369601584 -0.373342185648923 -0.346841837996923 -0.336245465846154 -0.337787710550769 -0.341639447657538 -0.288484099455385 -0.291494473772308 -0.321413947816615 -0.324608596938462 -0.284044531268 -0.294957070297846 -0.291773733783692 -0.282272730704615 -0.288225909169231 -0.295503167948615 -0.276113022258769 -0.273653168566154 -0.291544320710462 -0.281320785531077 -0.296114569668923 -0.298445605557231 -0.317210169784277 -0.321166454702154 -0.296510241747692 -0.344571394330462 -0.334027214578462 -0.322727469126154 -0.319842592396923 -0.32388908824 -0.339173858901231 -0.346106968896 -0.344180678619385 -0.363033238327077 -0.309150601797538 -0.302445702770769 -0.302954080296 -0.307517041427692 -0.301384954255385 -0.312785192618462 -0.287357042292308 -0.286314186562769 -0.30665854844 -0.336275776381262 -0.328784411073846 -0.317405193607692 -0.338587419659077 -0.326325824833231 -0.323322359264308 -0.332947738304615 -0.3355790986 -0.346282818504246 -0.340212083301538 -0.366516095113231 -0.346332407676308 -0.351578140475385 -0.336256901123169 -0.344173395107077 -0.329156530584308 -0.333184048350769 -0.360426320404 -0.317285546861538
"7" 7 -0.0788676490032467 -0.070306020425974 -0.0671622098555195 -0.0573564305844156 -0.0556078892207792 -0.0799817996883117 -0.107341361597403 -0.0962941444220779 -0.103673911403247 -0.0841770306136364 -0.0870099892480519 -0.0951313944301948 -0.0663601295584416 -0.0450811769217532 -0.0598277011850649 -0.0550062037207792 -0.0627851837691558 -0.0729939505974026 -0.0573515297077922 -0.0468312971525974 -0.0377839596675325 -0.0520109302532468 -0.0439543828441558 -0.0367596058964286 -0.0590285799675325 -0.0406993907980519 -0.0242730920941558 -0.0475448895935065 -0.0464918991266234 -0.016476975474026 -0.0607592670253247 -0.074873409375 -0.0729869482814935 -0.0843384406201299 -0.0635450703353896 -0.0797644221720779 -0.0615770584902597 -0.0710947820113636 -0.0670905450636364 -0.0665328537694805 -0.0723142967954545 -0.0638806147314935 -0.0610314052435065 -0.0641398273181818 -0.071047411012987 -0.0616425215584416 -0.0386455143181818 -0.0294028883084416 -0.0402952558701299 -0.0531073392606169 -0.0367842562477273 -0.0369280015967532 -0.0227577409470779 -0.0170740691068182 -0.0242439436266234 -0.0609137317045455 -0.0731879326324675 -0.0755835154707792 -0.0710271434103896 -0.0709175787863636 -0.0611541571623377 -0.0790951435383117 -0.102638563788961 -0.0887997639535714 -0.067601483461039 -0.0701727961983766 -0.0715919189935065 -0.0466158443006493 -0.0442606213571429 -0.02960825275 -0.022483555763961 -0.0460914975454545 0.00660710448603896 -0.0313630883701299 -0.0419225899123377 -0.0437042837760065 -0.0429754701896104 -0.0284138335214286 -0.0320264885844156 -0.0498267725905195 -0.0480440612402597 -0.0617213257077922 -0.0405711001860714 -0.0567625103279221 -0.0520921203548701 -0.0774569301633117
"8" 8 -0.431099997501779 -0.421915973269395 -0.421134312455516 -0.429397267010676 -0.442466580747331 -0.440085282882562 -0.450742256227758 -0.46436688516121 -0.468349168199288 -0.46314828033452 -0.465223734185053 -0.457795296014235 -0.42710134352669 -0.429696280355872 -0.438721458704626 -0.426998933345196 -0.424668207772242 -0.434746874615302 -0.433267472775801 -0.414026746477224 -0.413922876391459 -0.41998590872242 -0.426665956218861 -0.427737706601423 -0.435366624148043 -0.441587079590747 -0.44937200611032 -0.445042695409253 -0.439575375099644 -0.461597290786477 -0.423108430274021 -0.431513557053381 -0.420105085978648 -0.414569513519573 -0.452648375516014 -0.46012305672242 -0.456147286213523 -0.450103497900356 -0.43353806642242 -0.441093677153025 -0.41694354058363 -0.423164878519573 -0.427036210493594 -0.438067800323843 -0.44651101816726 -0.442786791099644 -0.411816546946619 -0.411670384359431 -0.418255437135231 -0.428912153188612 -0.424382775341637 -0.424650414814947 -0.420857370644128 -0.431685794697509 -0.426249637149466 -0.43807631127758 -0.429929190302491 -0.42723556141637 -0.441670947637011 -0.441815079156584 -0.439543016807829 -0.449233256619217 -0.449043630462633 -0.43778862458363 -0.41214425780427 -0.430038834505338 -0.438757151209964 -0.415217867252669 -0.423428908533808 -0.414756866476868 -0.41360646566548 -0.421456305836299 -0.40426476213879 -0.421263634896797 -0.415652766298932 -0.413015431814947 -0.412738333238434 -0.442085940088968 -0.453463082619217 -0.438647402989324 -0.446969806302847 -0.443576107103203 -0.434237394576512 -0.433682750882562 -0.443812321217082 -0.438549524565552
"9" 9 -0.292080530003472 -0.2891751521875 -0.296150945579861 -0.292341346548611 -0.305207412229167 -0.298266619239583 -0.311577809050694 -0.31030350634375 -0.312938021501389 -0.319928933520833 -0.327655242888889 -0.320774844253472 -0.288302997569444 -0.298603268659722 -0.307554678277778 -0.311437495893403 -0.315189724571528 -0.306819577246528 -0.282993639420139 -0.279887659927083 -0.304298290017361 -0.309795033739583 -0.314533434609722 -0.320358315545139 -0.318462569979167 -0.317117410003472 -0.316935135538194 -0.305923451170139 -0.303136140315972 -0.322718159756944 -0.315017576469097 -0.315573946517361 -0.287225439182292 -0.286692472079861 -0.300330575838889 -0.306888728449653 -0.280541381770833 -0.301948019194444 -0.278750159836806 -0.283232637045139 -0.287698497170139 -0.302338574666667 -0.284971538454861 -0.293664350194444 -0.303697675286111 -0.2818289356875 -0.308946801701389 -0.303371108645833 -0.299400386728819 -0.317243456378472 -0.314426328014236 -0.299921700361111 -0.308757686002083 -0.298776930396181 -0.292363638885417 -0.277262957371528 -0.274168215461806 -0.268310652798611 -0.277926254618056 -0.274331270510417 -0.272395695368056 -0.280734396798611 -0.284112517138889 -0.289465446579861 -0.296069562524306 -0.296951944645833 -0.294760050923611 -0.295171495326389 -0.288433602361111 -0.298114837146215 -0.302442471265625 -0.29821645728125 -0.289921557700694 -0.290615791208333 -0.287995053440972 -0.267041689821528 -0.284963420784722 -0.279234466336806 -0.263578674135417 -0.251243068538542 -0.251616970503472 -0.258442286621528 -0.28338006934375 -0.284614699621528 -0.270959589628472 -0.276553835569444
"10" 10 -0.294794687173469 -0.289298100810204 -0.289525356295918 -0.303412907894558 -0.294968050261905 -0.289565770918367 -0.250409490289116 -0.256052273955782 -0.269905815295918 -0.273141778013605 -0.275386925119048 -0.286097864335714 -0.242252160659864 -0.250865863728912 -0.253475255343537 -0.248469681462585 -0.256496566877551 -0.23628888622585 -0.260811504765306 -0.268428522172449 -0.278986182044218 -0.261414473629252 -0.270750982366429 -0.270611945982993 -0.295002785568027 -0.28169043707483 -0.2933202415 -0.307687142102381 -0.300124057493197 -0.304103916034014 -0.276246857554422 -0.269728673418367 -0.302989623289116 -0.301546498380952 -0.2918328816 -0.297418060895238 -0.26580348510966 -0.259674300986395 -0.256090761261905 -0.253488466598639 -0.257166662511565 -0.24982790629932 -0.240068515391156 -0.240478926543878 -0.241155846238095 -0.246895955844558 -0.252375677204082 -0.278668138615646 -0.285236568851701 -0.279052701408163 -0.29456170679932 -0.293142418091837 -0.281231266009184 -0.282219557683673 -0.286612362982993 -0.268629451680272 -0.27669424900068 -0.280229071819728 -0.265330706842177 -0.267135640819388 -0.265222193173469 -0.274954775748299 -0.27171914504966 -0.274210437684014 -0.246870592258503 -0.246822615880952 -0.262235339459184 -0.26160224202381 -0.246117851629252 -0.241497602887755 -0.259435674846939 -0.255783898380952 -0.249634283823129 -0.250099177119048 -0.253368251761905 -0.258127147244898 -0.253697160955782 -0.272026384772109 -0.264736529693878 -0.285501031319728 -0.276026835292517 -0.277377710996599 -0.290012374163265 -0.287782500693878 -0.27928499952381 -0.291534680717687
